Function Name,link,lambda,xrange,zmin,zmax,markdown
Three-Cylinders Function,/benchmarks/unconstrained/2-dimensions/157-three-cylinders-function,"f = lambda x: np.select([np.sqrt((x[:,0]-3)**2+(x[:,1]-2)**2) <= 0.75, np.sqrt((x[:,0]-4)**2+(x[:,1]-4)**2) <= 0.375, np.sqrt((x[:,0]-1)**2+(x[:,1]-3)**2) <= 0.25], [1, 1.05, 1.05], default=0).reshape(x.shape[0], 1)","[[0, 5], [0, 5]]",[],"[(4, 4), (1, 3)]","$The lambda function `f` can be represented in LaTeX syntax as follows:

```latex
f(\mathbf{x}) = \left\{
\begin{array}{ll}
1 & \text{if } \sqrt{(x_1 - 3)^2 + (x_2 - 2)^2} \leq 0.75, \\
1.05 & \text{if } \sqrt{(x_1 - 4)^2 + (x_2 - 4)^2} \leq 0.375, \\
1.05 & \text{if } \sqrt{(x_1 - 1)^2 + (x_2 - 3)^2} \leq 0.25, \\
0 & \text{otherwise}.
\end{array}
\right.
```

Where \(\mathbf{x}\) is a vector with components \(x_1\) and \(x_2\).$"
Three-Hump Camel-Back Function,/benchmarks/unconstrained/2-dimensions/67-three-hump-camel-back-function,"f = lambda x: 2*x[:,0]**2 - 1.05*x[:,0]**4 + (1/6)*x[:,0]**6 + x[:,0]*x[:,1] + x[:,1]**2","[[-5, 5], [-5, 5]]","[(0, 0)]",[],"$The lambda function can be converted into the following LaTeX expression:

\[
f(\mathbf{x}) = 2x_1^2 - 1.05x_1^4 + \frac{1}{6}x_1^6 + x_1x_2 + x_2^2
\]

where \( \mathbf{x} \) is a vector with components \( x_1 \) and \( x_2 \), corresponding to \( x[:,0] \) and \( x[:,1] \) in the lambda function, respectively.$"
Treccani's Function,/benchmarks/unconstrained/2-dimensions/70-treccani-s-function,"f = lambda x: x[:,0]**4 + 4*x[:,0]**3 + 4*x[:,0]**2 + x[:,1]**2","[[-5, 5], [-5, 5]]","[(-2, 0), (0, 0)]",[],$f(\mathbf{x}) = x_{1}^{4} + 4x_{1}^{3} + 4x_{1}^{2} + x_{2}^{2}$
Trefethen's Function,/benchmarks/unconstrained/2-dimensions/105-trefethen-s-function,"f = lambda x: 0.25*x[:,0]**2 + 0.25*x[:,1]**2 + np.exp(np.sin(50*x[:,0])) - np.sin(10*x[:,0] + 10*x[:,1]) + np.sin(60*np.exp(x[:,1])) + np.sin(70*np.sin(x[:,0])) + np.sin(np.sin(80*x[:,1]))","[[-6.5, 6.5], [-4.5, 4.5]]","[(-0.02440307923, 0.2106124261)]",[],"$The lambda function can be converted into the following mathematical expression using LaTeX syntax:

\[
f(\mathbf{x}) = 0.25x_0^2 + 0.25x_1^2 + e^{\sin(50x_0)} - \sin(10x_0 + 10x_1) + \sin(60e^{x_1}) + \sin(70\sin(x_0)) + \sin(\sin(80x_1))
\]

where $\mathbf{x} = [x_0, x_1]$ is a vector with two components.$"
Tripod Function,/benchmarks/unconstrained/2-dimensions/71-tripod-function,"f = lambda x: (x[:,1]>=0)*(1+(x[:,0]>=0)) + np.abs(x[:,0]+50*(x[:,1]>=0)*(1-2*(x[:,0]>=0))) + np.abs(x[:,1]+50*(1-2*(x[:,1]>=0)))","[[-100, 100], [-100, 100]]","[(0, -50)]",[],"$The lambda function `f` can be represented in LaTeX syntax as follows:

\[
f(\mathbf{x}) = (\mathbf{x}_{:,1} \geq 0) \cdot (1 + (\mathbf{x}_{:,0} \geq 0)) + \left| \mathbf{x}_{:,0} + 50 \cdot (\mathbf{x}_{:,1} \geq 0) \cdot (1 - 2 \cdot (\mathbf{x}_{:,0} \geq 0)) \right| + \left| \mathbf{x}_{:,1} + 50 \cdot (1 - 2 \cdot (\mathbf{x}_{:,1} \geq 0)) \right|
\]

Here, $\mathbf{x}$ is a matrix with at least two columns, $\mathbf{x}_{:,0}$ represents all elements in the first column, and $\mathbf{x}_{:,1}$ represents all elements in the second column. The comparison operators $\geq 0$ yield 1 if the condition is true and 0 otherwise. The absolute value is denoted by $\left| \cdot \right|$.$"
Tsoulos' Function,/benchmarks/unconstrained/2-dimensions/106-tsoulos-function,"f = lambda x: x[:,0]**2 + x[:,1]**2 - np.cos(18*x[:,0]) - np.cos(18*x[:,1])","[[-1, 1], [-1, 1]]","[(0, 0)]","[(-1, -1), (-1, 1), (1, -1), (1, 1)]",$f(\mathbf{x}) = x_1^2 + x_2^2 - \cos(18x_1) - \cos(18x_2)$
Ursem Function No.01,/benchmarks/unconstrained/2-dimensions/107-ursem-function-no-1,"f = lambda x: -np.sin(2*x[:,0]-0.5*np.pi)-3*np.cos(x[:,1])-0.5*x[:,0]","[[-2.5, 3], [-2, 2]]","[(1.697136443570341, 0)]",[],$f(\mathbf{x}) = -\sin(2x_1 - \frac{1}{2}\pi) - 3\cos(x_2) - \frac{1}{2}x_1$
Ursem Function No.03,/benchmarks/unconstrained/2-dimensions/130-ursem-function-no-3,"f = lambda x: -np.sin(2.2*np.pi*x[:,0]+0.5*np.pi)*((3-np.abs(x[:,0]))/2)*((2-np.abs(x[:,1]))/2)-np.sin(0.5*np.pi*x[:,1]**2+0.5*np.pi)*((2-np.abs(x[:,0]))/2)*((2-np.abs(x[:,1]))/2)","[[-2, 2], [-1.5, 1.5]]","[(0, 0)]",[],"$The lambda function `f` can be converted into the following mathematical expression in LaTeX syntax:

```latex
f(\mathbf{x}) = -\sin\left(2.2\pi x_1 + 0.5\pi\right)\left(\frac{3 - |x_1|}{2}\right)\left(\frac{2 - |x_2|}{2}\right) - \sin\left(0.5\pi x_2^2 + 0.5\pi\right)\left(\frac{2 - |x_1|}{2}\right)\left(\frac{2 - |x_2|}{2}\right)
```

Where $\mathbf{x} = [x_1, x_2]^T$ is a vector with two components.$"
Ursem Function No.04,/benchmarks/unconstrained/2-dimensions/131-ursem-function-no-4,"f = lambda x: -3*np.sin(0.5*np.pi*x[:,0]+0.5*np.pi)*((2-np.sqrt(x[:,0]**2+x[:,1]**2))/4)","[[-2, 2], [-2, 2]]","[(0, 0)]",[],$f(\mathbf{x}) = -3 \sin\left(\frac{\pi}{2} x_0 + \frac{\pi}{2}\right) \left(\frac{2 - \sqrt{x_0^2 + x_1^2}}{4}\right)$
Ursem-Waves Function,/benchmarks/unconstrained/2-dimensions/132-ursem-wave-function,"f = lambda x: -(0.3*x[:,0])**3 + (x[:,1]**2 - 4.5*x[:,1]**2)*x[:,0]*x[:,1] + 4.7*np.cos(3*x[:,0] - (x[:,1]**2)*(2+x[:,0]))*np.sin(2.5*np.pi*x[:,0])","[[-0.9, 1.2], [-1.2, 1.2]]","[(-0.605689494589848, -1.177561933039789)]",[],"$The lambda function can be converted into the following LaTeX expression:

\[
f(\mathbf{x}) = -0.3^3 x_0^3 + (x_1^2 - 4.5 x_1^2) x_0 x_1 + 4.7 \cos(3 x_0 - x_1^2 (2 + x_0)) \sin(2.5 \pi x_0)
\]

where $\mathbf{x}$ is a vector with components $x_0$ and $x_1$.$"
Venter and Sobiezcczanski-Sobieski's Function,/benchmarks/unconstrained/2-dimensions/108-venter-and-sobiezcczanski-sobieski-s-function,"f = lambda x: x[:,0]**2 - 100*np.cos(x[:,0])**2 - 100*np.cos(x[:,0]**2/30) + x[:,1]**2 - 100*np.cos(x[:,1])**2 - 100*np.cos(x[:,1]**2/30) + 1400","[[-50, 10], [-50, 10]]","[(0, 0)]",[],$f(\mathbf{x}) = x_1^2 - 100\cos^2(x_1) - 100\cos\left(\frac{x_1^2}{30}\right) + x_2^2 - 100\cos^2(x_2) - 100\cos\left(\frac{x_2^2}{30}\right) + 1400$
Wayburn-Seader's Function No.01,/benchmarks/unconstrained/2-dimensions/277-wayburn-seader-s-function-no-01,"f = lambda x: (x[:,0]**6 + x[:,1]**4 - 17)**2 + (2*x[:,0] + x[:,1] - 4)**2","[[-5, 5], [-5, 5]]","[(1, 2), (1.596804153876933, 0.806391692246134)]",[],"$The lambda function can be converted into the following mathematical expression in LaTeX syntax:

\[
f(\mathbf{x}) = \left( x_{1}^{6} + x_{2}^{4} - 17 \right)^{2} + \left( 2x_{1} + x_{2} - 4 \right)^{2}
\]

where $\mathbf{x}$ is a vector with components $x_{1}$ and $x_{2}$ corresponding to `x[:,0]` and `x[:,1]` in the lambda function, respectively.$"
Wayburn-Seader's Function No.02,/benchmarks/unconstrained/2-dimensions/278-wayburn-seader-s-function-no-02,"f = lambda x: (1.613 - 4*(x[:,0]-0.3125)**2 - 4*(x[:,1]-1.625)**2)**2 + (x[:,1]-1)**2","[[-500, 500], [-500, 500]]","[(0.200138974728779, 1), (0.424861025271221, 1)]",[],$f(\mathbf{x}) = \left(1.613 - 4(x_0 - 0.3125)^2 - 4(x_1 - 1.625)^2\right)^2 + (x_1 - 1)^2$
Wayburn-Seader's Function No.03,/benchmarks/unconstrained/2-dimensions/279-wayburn-seader-s-function-no-03,"f = lambda x: 2*x[:,0]**3/3 - 8*x[:,0]**2 + 33*x[:,0] - x[:,0]*x[:,1] + 5 + ((x[:,0]-4)**2 + (x[:,1]-5)**2 - 4)**2","[[-500, 500], [-500, 500]]","[(5.146896745324582, 6.839589743000071)]",[],$f(\mathbf{x}) = \frac{2}{3}x_0^3 - 8x_0^2 + 33x_0 - x_0x_1 + 5 + \left((x_0 - 4)^2 + (x_1 - 5)^2 - 4\right)^2$
Xin-She Yang's Function No.04,/benchmarks/unconstrained/2-dimensions/265-xin-she-yang-s-function-no-04,"f = lambda x: -5*np.exp(-beta*((x[:,0]-np.pi)**2+(x[:,1]-np.pi)**2))-np.sum(U*np.exp(-alpha*((x[:,0,None,None]-np.arange(K))**2+(x[:,1,None,None]-np.arange(K)[:,None])**2)), axis=(1,2))","[[0, 10], [0, 10]]","[(np.pi, np.pi)]","[(-10**2+5, -10**2+5)]","$The lambda function `f` can be converted into the following mathematical expression in LaTeX syntax:

```latex
f(\mathbf{x}) = -5e^{-\beta((x_1 - \pi)^2 + (x_2 - \pi)^2)} - \sum_{i=0}^{K-1}\sum_{j=0}^{K-1} U_{ij} e^{-\alpha((x_1 - i)^2 + (x_2 - j)^2)}
```

Here, $\mathbf{x}$ is a vector with components $x_1$ and $x_2$, and the indices $i$ and $j$ run over the range from $0$ to $K-1$. The variable $U_{ij}$ represents the elements of the matrix $U$.$"
Zettl's Function,/benchmarks/unconstrained/2-dimensions/109-zettl-s-function,"f = lambda x: 0.25*x[:,0] + (x[:,0]**2 - 2*x[:,0] + x[:,1]**2)**2","[[-1, 5], [-1, 5]]","[(-0.02989597760285287, 0)]",[],$f(\mathbf{x}) = 0.25x_0 + (x_0^2 - 2x_0 + x_1^2)^2$
